No,C,Gamma,L1,L2,L3,L12,L13,L23,L123,AVG
1,0.1,0.05,0.781609195,0.827586207,0.827586207,0.83908046,0.850574713,0.816091954,0.816091954,0.822660099
2,0.1,0.1,0.793103448,0.862068966,0.827586207,0.873563218,0.873563218,0.804597701,0.827586207,0.837438424
3,0.1,0.5,0.827586207,0.873563218,0.885057471,0.896551724,0.908045977,0.804597701,0.908045977,0.871921182
4,0.1,1,0.850574713,0.873563218,0.908045977,0.896551724,0.965517241,0.827586207,0.908045977,0.88998358
5,0.1,2,0.83908046,0.908045977,0.908045977,0.91954023,0.942528736,0.827586207,0.75862069,0.871921182
6,1,0.05,0.83908046,0.885057471,0.908045977,0.896551724,0.931034483,0.827586207,0.908045977,0.885057471
7,1,0.1,0.83908046,0.908045977,0.908045977,0.931034483,0.942528736,0.850574713,0.942528736,0.903119869
8,1,0.5,0.885057471,0.91954023,0.965517241,0.988505747,0.988505747,0.896551724,0.965517241,0.944170772
9,1,1,0.91954023,0.908045977,0.988505747,0.988505747,0.988505747,0.91954023,1,0.958949097
10,1,2,0.942528736,0.931034483,0.988505747,1,0.988505747,0.954022989,1,0.972085386
11,5,0.05,0.83908046,0.931034483,0.931034483,0.942528736,0.965517241,0.83908046,0.965517241,0.916256158
12,5,0.1,0.850574713,0.91954023,0.942528736,0.965517241,0.988505747,0.873563218,0.977011494,0.931034483
13,5,0.5,0.91954023,0.908045977,0.988505747,1,0.988505747,0.954022989,1,0.965517241
14,5,1,0.988505747,0.942528736,0.988505747,1,0.988505747,0.954022989,1,0.980295567
15,5,2,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
16,10,0.05,0.850574713,0.91954023,0.942528736,0.977011494,0.988505747,0.873563218,0.965517241,0.931034483
17,10,0.1,0.873563218,0.91954023,0.988505747,0.988505747,0.988505747,0.896551724,1,0.950738916
18,10,0.5,0.965517241,0.942528736,0.988505747,1,0.988505747,0.954022989,1,0.977011494
19,10,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
20,10,2,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
21,50,0.05,0.896551724,0.931034483,0.988505747,1,0.988505747,0.942528736,1,0.963875205
22,50,0.1,0.942528736,0.931034483,0.988505747,1,0.988505747,0.942528736,1,0.97044335
23,50,0.5,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
24,50,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
25,50,2,0.988505747,0.988505747,0.988505747,1,0.988505747,0.954022989,1,0.986863711
26,100,0.05,0.931034483,0.942528736,0.988505747,1,0.988505747,0.942528736,1,0.97044335
27,100,0.1,0.942528736,0.954022989,0.988505747,1,0.988505747,0.942528736,1,0.973727422
28,100,0.5,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
29,100,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
30,100,2,0.988505747,0.988505747,0.988505747,1,0.988505747,0.954022989,1,0.986863711
31,200,0.05,0.942528736,0.954022989,0.988505747,1,0.988505747,0.942528736,1,0.973727422
32,200,0.1,0.954022989,0.988505747,0.988505747,1,0.988505747,0.942528736,1,0.980295567
33,200,0.5,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
34,200,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
35,200,2,0.988505747,0.988505747,0.988505747,1,0.988505747,0.954022989,1,0.986863711
36,500,0.05,0.954022989,0.988505747,0.988505747,1,0.988505747,0.942528736,1,0.980295567
37,500,0.1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.942528736,1,0.983579639
38,500,0.5,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
39,500,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
40,500,2,0.988505747,0.988505747,0.988505747,1,0.988505747,0.954022989,1,0.986863711
41,1000,0.05,0.988505747,0.977011494,0.988505747,1,0.988505747,0.942528736,1,0.983579639
42,1000,0.1,0.988505747,0.965517241,0.988505747,1,0.988505747,0.942528736,1,0.981937603
43,1000,0.5,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
44,1000,1,0.988505747,0.977011494,0.988505747,1,0.988505747,0.954022989,1,0.985221675
45,1000,2,0.988505747,0.988505747,0.988505747,1,0.988505747,0.954022989,1,0.986863711
